Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;119.094;	0.183892;		0.1689
2;118.746;	0.161829;		0.1585
3;122.010;	0.156906;		0.1642
4;119.622;	0.154284;		0.1542
5;121.838;	0.152284;		0.1560
6;125.411;	0.151360;		0.1541
7;121.250;	0.151148;		0.1553
8;121.037;	0.150335;		0.1508
9;118.477;	0.151071;		0.1596
10;118.592;	0.149415;		0.1511
11;117.582;	0.142851;		0.1459
12;120.072;	0.140986;		0.1406
13;121.797;	0.139632;		0.1421
14;117.566;	0.138262;		0.1442
15;119.359;	0.137434;		0.1405
16;117.304;	0.136809;		0.1445
17;119.614;	0.135837;		0.1391
18;121.444;	0.134194;		0.1396
19;122.033;	0.133885;		0.1372
20;121.258;	0.133788;		0.1382
21;119.586;	0.129719;		0.1371
22;120.287;	0.129559;		0.1353
23;119.773;	0.129145;		0.1358
24;117.452;	0.128259;		0.1393
25;118.704;	0.128495;		0.1348
26;119.549;	0.127555;		0.1359
27;120.466;	0.127967;		0.1370
28;117.973;	0.126884;		0.1329
29;118.575;	0.126984;		0.1351
30;118.108;	0.126193;		0.1349
31;121.101;	0.124821;		0.1344
32;117.310;	0.124529;		0.1338
33;117.923;	0.124193;		0.1345
34;118.644;	0.123931;		0.1328
35;120.066;	0.124060;		0.1332
36;117.632;	0.123576;		0.1331
37;118.548;	0.123289;		0.1323
38;117.332;	0.122810;		0.1317
39;117.550;	0.122599;		0.1325
40;117.916;	0.122663;		0.1325
