Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;120.309;	0.816462;		0.8124
2;125.506;	0.760029;		0.7946
3;118.391;	0.721799;		0.7271
4;120.791;	0.691188;		0.7543
5;118.924;	0.671551;		0.6872
6;118.974;	0.665239;		0.6788
7;120.360;	0.660128;		0.7340
8;119.727;	0.659400;		0.6732
9;119.998;	0.653112;		0.8674
10;122.308;	0.650881;		0.7373
11;117.763;	0.628602;		0.7700
12;120.016;	0.624262;		0.6670
13;118.340;	0.616994;		0.6465
14;118.907;	0.612288;		0.6323
15;118.770;	0.605197;		0.6448
16;121.454;	0.599612;		0.6545
17;118.371;	0.595225;		0.6145
18;119.889;	0.592245;		0.6428
19;119.958;	0.585868;		0.7206
20;121.805;	0.582041;		0.6098
21;120.739;	0.566118;		0.6189
22;122.445;	0.559839;		0.6292
23;120.524;	0.555502;		0.6910
24;122.387;	0.554792;		0.9962
25;122.030;	0.552053;		1.1735
26;119.312;	0.547460;		0.6121
27;121.258;	0.543243;		0.6846
28;123.024;	0.546264;		0.5987
29;118.202;	0.538598;		0.5953
30;118.789;	0.537693;		0.8277
31;118.601;	0.525933;		0.5953
32;118.972;	0.521357;		0.6388
33;119.731;	0.517801;		0.5964
34;117.169;	0.516813;		0.5918
35;118.982;	0.514469;		0.5996
36;118.984;	0.511625;		0.5924
37;118.978;	0.511707;		0.6001
38;121.714;	0.505724;		0.5955
39;119.099;	0.507450;		0.5994
40;120.574;	0.506223;		0.6139
