Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;140.253;	0.443585;		0.4139
2;140.500;	0.387336;		0.3997
3;139.721;	0.366772;		0.3868
4;139.257;	0.358445;		0.3850
5;140.572;	0.348303;		0.3818
6;138.604;	0.345561;		0.4270
7;139.183;	0.341049;		0.3372
8;138.602;	0.338717;		0.3464
9;139.942;	0.339060;		0.4588
10;139.534;	0.336795;		0.3603
11;137.765;	0.324913;		0.3160
12;139.912;	0.317694;		0.3155
13;140.540;	0.313123;		0.3175
14;140.510;	0.308325;		0.3035
15;140.398;	0.306282;		0.3068
16;139.113;	0.303468;		0.3605
17;140.641;	0.300576;		0.3027
18;138.995;	0.299318;		0.3771
19;139.521;	0.297895;		0.3222
20;139.662;	0.295656;		0.4730
21;138.842;	0.288559;		0.3198
22;139.519;	0.287119;		0.2934
23;140.304;	0.285333;		0.2944
24;140.440;	0.283948;		0.3011
25;139.460;	0.282727;		0.2865
26;140.287;	0.281270;		0.2878
27;139.805;	0.279454;		0.3024
28;138.499;	0.279244;		0.3008
29;140.204;	0.277251;		0.2925
30;139.537;	0.276575;		0.3000
31;138.079;	0.271518;		0.3003
32;139.793;	0.269001;		0.2890
33;139.659;	0.268155;		0.2911
34;139.817;	0.268343;		0.2877
35;140.388;	0.265871;		0.3045
36;139.385;	0.264979;		0.2929
37;140.842;	0.265216;		0.2915
38;140.528;	0.263576;		0.2879
39;139.635;	0.262381;		0.2986
40;139.912;	0.263699;		0.2919
