Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;92.772;	0.757171;		0.7425
2;82.317;	0.657225;		0.6502
3;84.120;	0.619049;		0.6176
4;87.734;	0.609221;		0.6130
5;84.748;	0.597258;		0.8960
6;86.472;	0.597700;		0.6426
7;89.593;	0.587659;		0.6618
8;83.338;	0.581314;		0.5985
9;84.958;	0.584195;		0.6123
10;88.465;	0.582764;		0.6408
11;87.663;	0.555216;		0.6009
12;85.186;	0.548544;		0.5730
13;83.949;	0.537858;		0.5505
14;95.912;	0.535346;		0.5621
15;95.009;	0.530355;		0.5530
16;86.795;	0.522479;		0.7463
17;86.331;	0.522466;		0.6007
18;92.476;	0.522901;		0.8682
19;90.637;	0.511671;		0.7630
20;84.353;	0.509495;		0.6953
21;94.533;	0.495139;		0.5329
22;85.291;	0.485918;		0.6084
23;89.611;	0.484689;		0.5416
24;87.594;	0.481370;		0.5397
25;84.811;	0.476483;		0.5269
26;86.594;	0.471402;		0.5284
27;85.494;	0.469047;		0.5203
28;83.639;	0.465516;		0.5452
29;84.260;	0.462411;		0.5334
30;91.037;	0.462497;		0.5959
31;83.058;	0.444973;		0.7021
32;83.709;	0.438354;		0.5356
33;88.716;	0.439074;		0.5198
34;83.745;	0.434789;		0.5364
35;96.741;	0.431889;		0.5416
36;84.648;	0.430875;		0.5912
37;86.004;	0.428373;		0.5197
38;90.311;	0.425336;		0.5324
39;84.142;	0.425515;		0.5851
40;83.885;	0.419610;		0.5276
