Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;126.243;	0.705556;		0.6741
2;121.410;	0.622985;		0.6316
3;126.110;	0.598428;		0.6186
4;122.109;	0.575249;		0.5961
5;120.649;	0.562114;		0.5820
6;125.847;	0.560266;		0.6483
7;115.296;	0.560015;		0.6275
8;122.697;	0.551669;		0.5695
9;122.257;	0.543862;		0.5910
10;116.322;	0.545305;		0.6899
11;132.393;	0.519525;		0.6480
12;119.015;	0.510642;		0.5428
13;122.837;	0.503773;		0.5439
14;126.479;	0.495790;		0.7016
15;122.472;	0.495030;		0.7031
16;130.676;	0.489109;		0.5283
17;119.703;	0.484794;		0.5955
18;123.975;	0.482929;		0.6809
19;121.074;	0.479123;		0.5300
20;119.482;	0.475985;		0.5345
21;118.129;	0.464099;		0.5710
22;118.626;	0.459982;		0.4975
23;130.289;	0.456679;		0.5015
24;125.827;	0.452382;		0.5277
25;122.628;	0.451020;		0.5266
26;120.146;	0.453838;		0.5092
27;120.138;	0.447737;		0.4966
28;122.791;	0.443560;		0.5278
29;121.567;	0.443654;		0.5422
30;116.932;	0.441835;		0.5081
31;114.145;	0.432398;		0.4956
32;119.509;	0.428243;		0.5132
33;130.514;	0.428298;		0.5148
34;127.317;	0.426075;		0.5017
35;123.287;	0.424386;		0.4969
36;126.487;	0.424894;		0.4997
37;119.293;	0.422566;		0.4991
38;127.254;	0.419905;		0.5045
39;120.288;	0.417915;		0.5295
40;122.129;	0.416756;		0.5097
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;191.945;	0.450473;		0.4258
2;193.877;	0.394868;		0.3697
3;188.349;	0.366891;		0.3589
4;194.477;	0.354987;		0.4501
5;190.885;	0.350190;		0.3767
6;193.261;	0.346312;		0.3599
7;186.224;	0.346085;		0.3361
8;186.789;	0.338508;		0.3440
9;196.366;	0.339990;		0.3697
10;196.095;	0.335720;		0.3473
11;199.516;	0.321790;		0.3331
12;192.376;	0.316832;		0.3285
13;187.465;	0.314550;		0.3046
14;190.869;	0.309291;		0.4022
15;195.140;	0.308663;		0.3656
16;192.179;	0.306568;		0.3105
17;195.350;	0.304699;		0.3004
18;209.739;	0.303353;		0.2978
19;186.451;	0.300499;		0.4339
20;197.612;	0.300779;		0.3490
21;192.973;	0.293221;		0.3757
22;196.239;	0.291048;		0.4148
23;192.890;	0.289712;		0.2931
24;201.572;	0.289899;		0.3228
25;191.884;	0.289248;		0.2993
26;193.023;	0.286826;		0.2984
27;192.335;	0.285340;		0.2964
28;201.348;	0.284926;		0.2910
29;199.544;	0.286323;		0.2893
30;192.902;	0.285069;		0.2885
31;184.710;	0.279267;		0.2998
